U0	U1	1.0
U1	U2	1.0
U1	U52	1.0
U1	U53	1.0
U1	U84	1.0
U1	U113	1.0
U1	U114	1.0
U3	U4	1.0
U4	U107	1.0
U4	U109	1.0
U4	U237	1.0
U4	U241	1.0
U4	U242	1.0
U5	U6	1.0
U5	U7	1.0
U5	U8	1.0
U5	U9	1.0
U5	U10	1.0
U5	U11	1.0
U6	U57	1.0
U6	U63	1.0
U6	U64	1.0
U6	U65	1.0
U6	U66	1.0
U6	U67	1.0
U6	U68	1.0
U6	U69	1.0
U6	U70	1.0
U6	U72	1.0
U6	U73	1.0
U6	U74	1.0
U6	U75	1.0
U6	U76	1.0
U6	U101	1.0
U6	U135	1.0
U6	U139	1.0
U6	U185	1.0
U6	U186	1.0
U6	U187	1.0
U6	U188	1.0
U6	U189	1.0
U6	U190	1.0
U6	U191	1.0
U6	U192	1.0
U6	U193	1.0
U6	U194	1.0
U6	U195	1.0
U6	U196	1.0
U6	U197	1.0
U6	U198	1.0
U6	U199	1.0
U6	U200	1.0
U6	U201	1.0
U6	U202	1.0
U6	U203	1.0
U6	U204	1.0
U6	U205	1.0
U6	U206	1.0
U7	U77	1.0
U7	U98	1.0
U7	U178	1.0
U7	U249	1.0
U8	U57	1.0
U8	U63	1.0
U8	U64	1.0
U8	U65	1.0
U8	U66	1.0
U8	U67	1.0
U8	U68	1.0
U8	U69	1.0
U8	U70	1.0
U8	U72	1.0
U8	U73	1.0
U8	U74	1.0
U8	U75	1.0
U8	U76	1.0
U8	U99	1.0
U8	U101	1.0
U8	U103	1.0
U8	U135	1.0
U8	U185	1.0
U8	U186	1.0
U8	U187	1.0
U8	U189	1.0
U8	U191	1.0
U8	U193	1.0
U8	U194	1.0
U8	U196	1.0
U8	U197	1.0
U8	U198	1.0
U8	U199	1.0
U8	U202	1.0
U8	U203	1.0
U8	U204	1.0
U8	U206	1.0
U8	U222	1.0
U8	U272	1.0
U8	U273	1.0
U8	U274	1.0
U8	U275	1.0
U8	U276	1.0
U8	U277	1.0
U8	U278	1.0
U8	U279	1.0
U8	U280	1.0
U8	U281	1.0
U8	U282	1.0
U9	U77	1.0
U9	U178	1.0
U9	U179	1.0
U9	U236	1.0
U9	U249	1.0
U10	U77	1.0
U10	U178	1.0
U10	U249	1.0
U11	U178	1.0
U12	U13	1.0
U12	U14	1.0
U13	U61	1.0
U13	U86	1.0
U13	U88	1.0
U13	U234	1.0
U13	U235	1.0
U13	U265	1.0
U13	U291	1.0
U13	U292	1.0
U13	U293	1.0
U13	U294	1.0
U14	U88	1.0
U14	U234	1.0
U14	U235	1.0
U14	U264	1.0
U14	U265	1.0
U14	U291	1.0
U14	U292	1.0
U14	U293	1.0
U14	U294	1.0
U15	U16	1.0
U15	U17	1.0
U16	U233	1.0
U16	U240	1.0
U16	U267	1.0
U17	U233	1.0
U17	U240	1.0
U17	U267	1.0
U18	U19	1.0
U18	U20	1.0
U18	U21	1.0
U18	U22	1.0
U18	U23	1.0
U18	U24	1.0
U19	U81	1.0
U19	U117	1.0
U19	U118	1.0
U22	U80	1.0
U22	U81	1.0
U22	U110	1.0
U22	U123	1.0
U23	U81	1.0
U24	U81	1.0
U24	U117	1.0
U25	U26	1.0
U25	U27	1.0
U26	U125	1.0
U26	U217	1.0
U28	U29	1.0
U29	U167	1.0
U29	U238	1.0
U30	U31	1.0
